Id,Prediction
0,3923867.957342185
1,3178035.8771340763
2,2206522.0992058683
3,2731870.8371492284
4,3193967.363657155
5,3933102.344808832
6,3497264.9741352666
7,2568872.0938648884
8,4941194.7519895015
9,3984105.1195683805
10,3890064.50679165
11,5583607.26226195
12,4036954.6957447766
13,4414264.488889957
14,3103962.8591217706
15,4266338.563305255
16,4614305.875486766
17,3183745.5143948863
18,9110300.472382046
19,3158106.105157582
20,1967379.7474471568
21,4465651.814239525
22,4537569.960572115
23,4586097.210322732
24,5588310.903743081
25,3730407.4733933196
26,3137814.4646048113
27,5433587.103478486
28,2594336.0917765773
29,4951724.94740391
30,3326327.604974982
31,2004048.0885322501
32,2571531.901964799
33,4611677.489264889
34,2537730.016664284
35,4103082.241568654
36,3977763.130483607
37,4711098.0691797575
38,2984731.181292711
39,3647927.343967141
40,4969287.908924922
41,4685182.47015963
42,4533720.761228056
43,4396600.145683812
44,5523333.181770835
45,3645657.8400467047
46,2446765.0046931743
47,2067508.2396807086
48,4098969.1673439723
49,3437257.203480805
50,4200471.489674878
51,2559383.3346961914
52,5301239.468247415
53,2990698.1850802745
54,3643405.8622598867
55,4083350.359120153
56,5802901.070497569
57,3287809.9357807585
58,4039911.214230883
59,4584903.909138741
60,2078967.6748365301
61,3390719.582365864
62,3804923.643422587
63,3064199.174054016
64,5008523.565880728
65,5388071.001472459
66,4610956.677146797
67,5522466.2755735405
68,4452795.33212855
69,5097784.892653619
70,3934299.494049758
71,2020347.620687903
72,4493400.994470423
73,3597726.0517168543
74,5888038.646227222
75,4949117.787095056
76,4386039.960567929
77,4151811.6565090246
78,4984426.746302765
79,3752491.7075405805
80,6116085.315618173
81,5569477.707869728
82,3387220.0469637276
83,3796852.409179614
84,6305907.26561873
85,1776722.1960903062
86,4118737.306737067
87,7416961.822815531
88,4807573.774129642
89,3128453.3667481076
90,5842459.584643975
91,3825926.035672825
92,3317611.2210494764
93,2548662.2277245433
94,9283613.2529665
95,3245362.678725854
96,4369211.946381823
97,4182143.9385225126
98,3928283.4043790973
99,4589132.791140787
100,5546463.211434518
101,2519338.594060362
102,3224163.4270359147
103,3674971.166439187
104,3876941.6425572713
105,2864660.7484798143
106,3946922.919184703
107,5790020.713627705
108,4523982.147172134
109,5356398.510169065
110,5598469.005446575
111,3394092.9252971546
112,5362078.269979459
113,3812139.6962809553
114,3645696.342704704
115,4546162.60557166
116,2439053.608425935
117,4411276.894209223
118,3897934.1903280485
119,5246349.81934039
120,4593923.656912619
121,5204455.475192739
122,3936055.782815807
123,4731749.669845742
124,2861072.4963841476
125,3477073.52160027
126,4897326.550078581
127,3669390.5626388565
128,3899377.96230919
129,3248778.905685067
130,2042093.7404638438
131,4368428.02542607
132,4313979.078328086
133,2867829.7889788835
134,4657964.629581964
135,3090151.190770865
136,3850322.4404917955
137,3975707.4108335036
138,3254095.1527181854
139,3556243.7515976722
140,6105001.422626607
141,2467536.501454701
142,3955504.044329853
143,2617468.568937691
144,5382460.418257392
145,3198814.376684932
146,4884560.610408021
147,3000712.8288195995
148,4093840.5251764064
149,4655448.266860332
150,3970417.6496033156
151,2136178.2244802658
152,6115996.885054007
153,5398191.815129081
154,2938368.5703149475
155,4959075.568239637
156,5317089.5941755045
157,4851344.947174274
158,3050220.8211639333
159,3486962.6676691403
160,2683223.215286019
161,3978395.893796159
162,3238874.449739704
163,4613156.877612339
164,6345315.9803161165
165,2053285.433364413
166,3681114.2798229977
167,2124501.7703332365
168,5001561.470314774
169,4518292.689990852
170,4372743.8027709415
171,2666809.6635389025
172,3061169.8277318776
173,8247564.342757407
174,4978442.456400461
175,1798353.752216582
176,5566304.891007779
177,4852201.178310206
178,3673851.6086627184
179,4015694.520241868
180,4131388.127786339
181,3931303.732887742
182,4517711.229861009
183,4077259.5483610663
184,4791600.222504963
185,3447812.825351275
186,4198790.398591999
187,4575068.425561553
188,5219388.887399813
189,4360383.369243157
190,4354366.7075638315
191,4732280.159016622
192,4579638.19992233
193,2861063.5633521015
194,4955589.733157527
195,3510590.0560459467
196,3761797.161892062
197,2075107.6842701589
198,3001752.792023555
199,5470289.855323079
200,4300763.8500563335
201,3803700.2382237827
202,4278404.10412432
203,6861128.767535417
204,4105167.8983577685
205,6323980.059258691
206,4633922.4141193135
207,3911765.234169818
208,4111668.8857867755
209,3909912.3040397745
210,5028654.132923193
211,4583124.10036101
212,3608614.220880189
213,2735965.5878906194
214,6276148.103663968
215,1955486.396257988
216,4134162.6748358584
217,4235986.88441201
218,4392448.474143944
219,2442998.425362077
220,6935199.005230128
221,4852271.608742949
222,5200640.135542759
223,3909912.3040397745
224,5301239.468247415
225,4719465.737058691
226,2964417.555874098
